Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ListnerDmoSuite,,,,2023-03-23 15:18:20,2023-03-23 15:18:25,5.604s,PASSED
,,,,,,,
Test Cases/Demo/ListnerDemo,,,,2023-03-23 15:18:20,2023-03-23 15:18:25,4.796s,PASSED
Start listener action : beforeTest,,,,2023-03-23 15:18:20,2023-03-23 15:18:20,0.005s,PASSED
"println(""I am inside listnerdemo"")",,,,2023-03-23 15:18:23,2023-03-23 15:18:23,0.005s,PASSED
Start listener action : afterTest,,,,2023-03-23 15:18:23,2023-03-23 15:18:23,0.028s,PASSED
Video,,,,2023-03-23 15:18:25,2023-03-23 15:18:25,0.002s,PASSED
